oldname	newname	class	subsystem	evidence	status	emitted_turn
filename_dirty_flags_bit2	setup_profile_shared_setup_eeprom_dirty	flag_bit	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm filename_dirty_flags bit2 static EEPROM block 2 persistence	emitted	prior_batch_packed_flags
filename_dirty_flags_bit3	route_volume_trim_eeprom_dirty	flag_bit	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm filename_dirty_flags bit3 static EEPROM block 3 persistence	emitted	prior_batch_packed_flags
filename_dirty_flags_bit4	filter_window_eeprom_dirty	flag_bit	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm filename_dirty_flags bit4 EEPROM filter window persistence loop	emitted	prior_batch_packed_flags
filename_dirty_flags_bit5	preset_filename_eeprom_dirty	flag_bit	preset	src/dlcp_fw/asm/dlcp_main_v34.asm filename_dirty_flags bit5 preset filename EEPROM dirty comments	emitted	prior_batch_packed_flags
filename_dirty_flags_bit6	usb_filename_transaction_pending	flag_bit	usb_hid	src/dlcp_fw/asm/dlcp_main_v34.asm filename_dirty_flags bit6 USB filename transaction gate comments	emitted	prior_batch_packed_flags
stock_094_bit5	user_mute_latch	flag_bit	i2c_tas3108	src/dlcp_fw/asm/dlcp_main_v34.asm stock_094 bit5 V3.4 user mute latch comments	emitted	prior_batch_packed_flags
stock_094_bit6	wake_i2c_barrier_pending	flag_bit	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm stock_094 bit6 FIELD-10 wake I2C barrier comments	emitted	prior_batch_packed_flags
stock_094_bit7	late_bit1_attempt_marker	flag_bit	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm stock_094 bit7 per-dispatch bit1 attempt marker comments	emitted	prior_batch_packed_flags
flow_hid_command_dispatch_15a8	hid_cmd_diag_snapshot_probe	local_label	diag	src/dlcp_fw/asm/dlcp_main_v34.asm HID command 0x44 diagnostics snapshot probe	emitted	prior_batch_diag_snapshot
diag_send_burst_xx	diag_low_nibble_reply_burst	private_helper	diag	src/dlcp_fw/asm/dlcp_main_v34.asm shared low-nibble BF diagnostics reply burst helper	emitted	prior_batch_diag_snapshot
main_core_service_1e88	restore_eeprom_settings_on_boot	private_helper	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot-time EEPROM restore and settings validation routine	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1f54	restore_eeprom_settings_on_boot__clamp_volume_minimum	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore computed volume minimum clamp	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1f60	restore_eeprom_settings_on_boot__validate_input_select	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore input select validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1f6a	restore_eeprom_settings_on_boot__validate_channel1_source	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore channel 1 source validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1f72	restore_eeprom_settings_on_boot__validate_channel2_source	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore channel 2 source validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1f7e	restore_eeprom_settings_on_boot__validate_channel3_source	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore channel 3 source validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1f8a	restore_eeprom_settings_on_boot__validate_channel4_source	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore channel 4 source validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1f98	restore_eeprom_settings_on_boot__validate_channel5_source	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore channel 5 source validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1fa6	restore_eeprom_settings_on_boot__validate_channel6_source	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore channel 6 source validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1fb4	restore_eeprom_settings_on_boot__validate_src_route_status	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore SRC route status validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1fbc	restore_eeprom_settings_on_boot__validate_link_address	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore link address validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_1fc6	restore_eeprom_settings_on_boot__mirror_runtime_settings	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore runtime setting shadow mirror path	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_2026	restore_eeprom_settings_on_boot__clamp_shared_setup_maximum	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore shared setup maximum clamp	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_2030	restore_eeprom_settings_on_boot__read_route_trim_eeprom	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore route trim EEPROM read path	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_2070	restore_eeprom_settings_on_boot__validate_route5_trim	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore route 5 trim validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_2078	restore_eeprom_settings_on_boot__validate_route6_trim	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore route 6 trim validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_2080	restore_eeprom_settings_on_boot__validate_route7_trim	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore route 7 trim validation	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_2088	restore_eeprom_settings_on_boot__mirror_route_trim_shadows	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore route trim shadow mirror path	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_209c	restore_eeprom_settings_on_boot__read_filter_window	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore filter window EEPROM read loop	emitted	prior_batch_boot_restore
flow_main_core_service_1e88_20c2	restore_eeprom_settings_on_boot__read_preset_a_filename	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore preset A filename EEPROM read loop	emitted	prior_batch_boot_restore
eeprom_read_00a_to_indf2_inc	eeprom_read_indexed_byte_to_postinc2	private_helper	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm EEPROM byte read using stock_00A index to POSTINC2	emitted	prior_batch_boot_restore
runtime_eeprom_write_03_w	eeprom_write_runtime_version_03_at_w	private_helper	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm boot restore runtime EEPROM version byte writer	emitted	prior_batch_boot_restore
eeprom_read_byte_W	eeprom_read_byte_at_w	private_helper	eeprom	src/dlcp_fw/asm/dlcp_main_v34.asm EEPROM byte read wrapper with address in W	emitted	prior_batch_boot_restore
fsr1_page1_copy_from_indf2_w	copy_indf2_to_page1_w	private_helper	ram	src/dlcp_fw/asm/dlcp_main_v34.asm copy INDF2 byte to page-1 address selected by W	emitted	current_batch_i2c_route_sync
prep_bank1_ram004	ram_clear_prepare_page1_address_high	private_helper	ram	src/dlcp_fw/asm/dlcp_main_v34.asm prepare ram_block_clear page-1 address high byte	emitted	current_batch_i2c_route_sync
ram_block_clear_4	ram_block_clear_four_bytes_from_w	private_helper	ram	src/dlcp_fw/asm/dlcp_main_v34.asm four-byte RAM block clear helper with low address in W	emitted	current_batch_i2c_route_sync
ram_block_clear_4_bank0_w	ram_block_clear_four_bytes_bank0_from_w	private_helper	ram	src/dlcp_fw/asm/dlcp_main_v34.asm bank-0 four-byte RAM block clear wrapper with low address in W	emitted	current_batch_i2c_route_sync
tblrd_fsr1_from_tblptrh_w	tblrd_load_fsr1_pair_from_table_page_w	private_helper	ram	src/dlcp_fw/asm/dlcp_main_v34.asm TBLRD helper loads FSR1 pair from table page selected by W	emitted	current_batch_i2c_route_sync
main_i2c_service_2100	i2c_apply_channel_route_sync_burst	private_helper	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm channel route sync I2C burst for secondary device and TAS3108	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_217a	i2c_apply_channel_route_sync_burst__map_next_channel_route_pair	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route sync table loop maps next channel route pair	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_226a	i2c_apply_channel_route_sync_burst__stage_next_dsp_source_block	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route sync source table loop stages next DSP block	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_2286	i2c_apply_channel_route_sync_burst__start_next_dsp_transaction	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route sync starts next I2C DSP transaction	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_22a8	i2c_apply_channel_route_sync_burst__write_next_channel_coefficient	local_label	i2c_tas3108	src/dlcp_fw/asm/dlcp_main_v34.asm route sync inner coefficient write loop	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_22c2	i2c_apply_channel_route_sync_burst__check_source_code_three	local_label	i2c_tas3108	src/dlcp_fw/asm/dlcp_main_v34.asm route sync source-code 3 coefficient special case check	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_22da	i2c_apply_channel_route_sync_burst__stage_forced_source_coefficients	local_label	i2c_tas3108	src/dlcp_fw/asm/dlcp_main_v34.asm route sync forced source coefficient staging path	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_22de	i2c_apply_channel_route_sync_burst__compute_source_coefficients	local_label	i2c_tas3108	src/dlcp_fw/asm/dlcp_main_v34.asm route sync computed source coefficient path	emitted	current_batch_i2c_route_sync
flow_main_i2c_service_2100_22fc	i2c_apply_channel_route_sync_burst__write_staged_coefficients	local_label	i2c_tas3108	src/dlcp_fw/asm/dlcp_main_v34.asm route sync writes staged coefficient bytes	emitted	current_batch_i2c_route_sync
main_i2c_service_2100_timeout	i2c_apply_channel_route_sync_burst__timeout	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route sync bounded I2C timeout path	emitted	current_batch_i2c_route_sync
main_i2c_service_2100_pen_timeout	i2c_apply_channel_route_sync_burst__pen_timeout	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route sync bounded PEN timeout path	emitted	current_batch_i2c_route_sync
main_i2c_service_2100_dispatch_table	channel_route_pair_destination_table	data_table	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route sync destination pair table for mapped route bytes	emitted	current_batch_i2c_route_sync
main_i2c_service_2100_source_table	channel_route_sync_source_block_table	data_table	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm route sync source block table for DSP transaction staging	emitted	current_batch_i2c_route_sync
main_i2c_service_32f8	i2c_secondary_apply_wake_init_table	private_helper	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm wake-time secondary-device initialization table applier	emitted	current_batch_wake_secondary_init
main_i2c_service_32f8_table	i2c_secondary_wake_init_table	data_table	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm wake-time secondary-device register/value initialization table	emitted	current_batch_wake_secondary_init
i2c_secondary_write_rows	i2c_secondary_write_table_rows	private_helper	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm generic TBLPTR-driven secondary-device register/value row writer	emitted	current_batch_wake_secondary_init
i2c_secondary_write_rows_loop	i2c_secondary_write_table_rows__write_next_row	local_label	i2c_secondary	src/dlcp_fw/asm/dlcp_main_v34.asm secondary-device table row writer loop body	emitted	current_batch_wake_secondary_init
main_i2c_service_355c	boot_init_peripherals_and_enter_adc_gate	private_helper	boot	src/dlcp_fw/asm/dlcp_main_v34.asm cold boot peripheral/SFR init, config-marker handling, settings restore, ADC gate entry	emitted	current_batch_boot_peripheral_init
flow_main_i2c_service_355c_35bc	boot_init_peripherals_and_enter_adc_gate__maybe_rewrite_config_bits	local_label	boot	src/dlcp_fw/asm/dlcp_main_v34.asm boot config-marker branch optionally calls flash_write_with_gie_off before ADC gate	emitted	current_batch_boot_peripheral_init
main_usb_service_475c	usb_poll_host_presence_reinit_or_shutdown	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB host-presence polling reinitializes UCON/UCFG or shuts USB down	emitted	current_batch_usb_reinit_activity
flow_main_usb_service_475c_476e	usb_poll_host_presence_reinit_or_shutdown__host_absent_shutdown_check	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB host absent branch checks enabled state before shutdown	emitted	current_batch_usb_reinit_activity
flow_main_usb_service_475c_4778	usb_poll_host_presence_reinit_or_shutdown__return	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB host-presence reinit/shutdown return path	emitted	current_batch_usb_reinit_activity
flow_main_usb_service_4812_4814	usb_delay_countdown_with_clrwdt__decrement	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB countdown delay loop clears WDT and decrements 16-bit counter	emitted	current_batch_usb_reinit_activity
main_usb_service_4812	usb_delay_countdown_with_clrwdt	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm 16-bit USB countdown delay with CLRWDT on each iteration	emitted	current_batch_usb_reinit_activity
flow_main_usb_service_4812_481e	usb_delay_countdown_with_clrwdt__check_remaining	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB countdown delay remaining-count check	emitted	current_batch_usb_reinit_activity
main_usb_service_4828	usb_disconnect_wait_clear_state	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB disconnect path clears UCON, waits, and clears USB device state	emitted	current_batch_usb_reinit_activity
main_usb_service_483c	usb_clear_activity_interrupt_after_settle	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB activity interrupt settle delay and flag clear helper	emitted	current_batch_usb_reinit_activity
flow_main_usb_service_483c_4846	usb_clear_activity_interrupt_after_settle__clear_flag	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB activity interrupt flag clear loop body	emitted	current_batch_usb_reinit_activity
flow_main_usb_service_483c_4848	usb_clear_activity_interrupt_after_settle__poll_flag	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB activity interrupt flag poll path	emitted	current_batch_usb_reinit_activity
main_core_service_4924	usb_activity_settle_delay_with_clrwdt	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm USB activity settle delay wrapper seeds 0x0300 countdown with CLRWDT	emitted	current_batch_usb_reinit_activity
main_core_service_3682	usb_ep0_dispatch_standard_setup_request	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 setup service dispatches standard USB request codes	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_368c	usb_ep0_dispatch_standard_setup_request__set_address	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard SET_ADDRESS request case	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_3696	usb_ep0_dispatch_standard_setup_request__get_descriptor	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard GET_DESCRIPTOR request case	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_369c	usb_ep0_dispatch_standard_setup_request__set_configuration	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard SET_CONFIGURATION request case	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_36a2	usb_ep0_dispatch_standard_setup_request__get_configuration	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard GET_CONFIGURATION request case	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_36b4	usb_ep0_dispatch_standard_setup_request__get_status	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard GET_STATUS request case	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_36ba	usb_ep0_dispatch_standard_setup_request__clear_or_set_feature	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard CLEAR_FEATURE/SET_FEATURE request case	emitted	current_batch_usb_ep0_standard_setup
usb_stage_0c8_0d3_offset_ec	usb_ep0_stage_interface_alt_setting_offset	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 interface alternate setting offset helper using wIndex low byte	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_36c0	usb_ep0_dispatch_standard_setup_request__get_interface	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard GET_INTERFACE request case	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_36d2	usb_ep0_dispatch_standard_setup_request__set_interface	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard SET_INTERFACE request case	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_36e4	usb_ep0_dispatch_standard_setup_request__dispatch_request_code	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard request code XOR-chain dispatch	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3682_370e	usb_ep0_dispatch_standard_setup_request__return	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 standard setup dispatch return path	emitted	current_batch_usb_ep0_standard_setup
main_core_service_3432	usb_ep0_apply_clear_set_feature_request	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 applies standard CLEAR_FEATURE and SET_FEATURE requests	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3432_344a	usb_ep0_apply_clear_set_feature_request__clear_device_remote_wakeup	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 CLEAR_FEATURE clears device remote-wakeup status bit	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3432_344c	usb_ep0_apply_clear_set_feature_request__check_endpoint_halt	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 feature request endpoint halt eligibility check	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3432_349c	usb_ep0_apply_clear_set_feature_request__clear_in_endpoint_halt	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 CLEAR_FEATURE endpoint-halt path for IN endpoint direction	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3432_34ae	usb_ep0_apply_clear_set_feature_request__clear_out_endpoint_halt	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 CLEAR_FEATURE endpoint-halt path for OUT endpoint direction	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3432_34b8	usb_ep0_apply_clear_set_feature_request__write_endpoint_halt_status	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 feature request writes endpoint halt/stall status byte	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3432_34c6	usb_ep0_apply_clear_set_feature_request__return	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 feature request return path	emitted	current_batch_usb_ep0_standard_setup
main_core_service_3710	usb_ep0_prepare_get_status_reply	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 prepares standard GET_STATUS two-byte reply by recipient	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3710_3718	usb_ep0_prepare_get_status_reply__device_status	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_STATUS device-recipient status path	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3710_3726	usb_ep0_prepare_get_status_reply__interface_status	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_STATUS interface-recipient status path	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3710_372c	usb_ep0_prepare_get_status_reply__endpoint_status	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_STATUS endpoint-recipient status path	emitted	current_batch_usb_ep0_standard_setup
core_filter_addr_from_0x0D3	usb_ep0_endpoint_bdt_addr_from_windex	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm computes endpoint BDT/status RAM address from SETUP wIndex byte	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3710_3770	usb_ep0_prepare_get_status_reply__dispatch_recipient	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_STATUS recipient dispatch path	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3710_3780	usb_ep0_prepare_get_status_reply__stage_reply	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_STATUS stages two-byte reply buffer/length	emitted	current_batch_usb_ep0_standard_setup
flow_main_core_service_3710_3794	usb_ep0_prepare_get_status_reply__return	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_STATUS return path	emitted	current_batch_usb_ep0_standard_setup
main_flash_service_3796	usb_ep0_select_get_descriptor_payload	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR selects descriptor pointer and transfer length	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_379e	usb_ep0_select_get_descriptor_payload__device_descriptor	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR device descriptor case	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_37ae	usb_ep0_select_get_descriptor_payload__configuration_descriptor	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR configuration descriptor case	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_37c4	usb_ep0_select_get_descriptor_payload__store_descriptor_length	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR stores selected fixed descriptor length	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_37c8	usb_ep0_select_get_descriptor_payload__string_descriptor	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR string descriptor pointer-table case	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_37f4	usb_ep0_select_get_descriptor_payload__read_string_length_via_fsr	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR reads low-memory string length through FSR fallback	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_37f6	usb_ep0_select_get_descriptor_payload__store_string_length	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR stores computed string descriptor length	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_37fe	usb_ep0_select_get_descriptor_payload__dispatch_descriptor_type	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR descriptor-type dispatch chain	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_380c	usb_ep0_select_get_descriptor_payload__mark_data_stage_dirty	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR marks IN data stage descriptor payload ready	emitted	current_batch_usb_ep0_descriptor_select
flow_main_flash_service_3796_380e	usb_ep0_select_get_descriptor_payload__return	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 GET_DESCRIPTOR return path	emitted	current_batch_usb_ep0_descriptor_select
main_flash_service_3810	read_low_memory_byte_at_tblptr	private_helper	ram	src/dlcp_fw/asm/dlcp_main_v34.asm reads byte at TBLPTR by mirroring TBLPTR into FSR1 for low-memory tables	emitted	current_batch_usb_ep0_descriptor_select
main_service_rx_frame_gap	periodic_service_loop__check_rx_frame_gap	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm periodic service parser-stall watchdog checks RX frame progress gap	emitted	current_batch_periodic_loop_locals
main_rx_frame_gap_expired	periodic_service_loop__reset_stalled_rx_frame	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm periodic service parser-stall watchdog resets stalled RX frame state	emitted	current_batch_periodic_loop_locals
main_rx_frame_gap_idle	periodic_service_loop__clear_rx_frame_gap_timeout	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm periodic service parser-stall watchdog clears timeout when idle/progressing	emitted	current_batch_periodic_loop_locals
main_rx_frame_gap_done	periodic_service_loop__continue_service_slots	local_label	uart_link	src/dlcp_fw/asm/dlcp_main_v34.asm periodic service continues after RX frame gap watchdog	emitted	current_batch_periodic_loop_locals
ra1_no_edge	ra1_edge_monitor__restore_bsr_return	local_label	diag	src/dlcp_fw/asm/dlcp_main_v34.asm RA1 diagnostic edge monitor no-edge path restores BSR and returns	emitted	current_batch_periodic_loop_locals
main_flash_service_35f0	usb_ep0_stage_in_data_packet	private_helper	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage helper copies up to 8 bytes from staged source pointer into EP0 buffer and updates remaining length	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_3608	usb_ep0_stage_in_data_packet__advance_data_toggle_state	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage advances nonzero data-toggle state before staging packet	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_360e	usb_ep0_stage_in_data_packet__store_data_toggle_state	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage stores selected data-toggle state byte	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_3610	usb_ep0_stage_in_data_packet__stage_packet_length_and_buffer	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage commits packet byte count to BDT count and points destination at EP0 buffer 0x0424	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_362c	usb_ep0_stage_in_data_packet__copy_table_source_byte	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage loop copies next byte from descriptor/table source selected by stock_0CE bit1	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_3638	usb_ep0_stage_in_data_packet__read_lowpage_table_byte	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage table-source loop uses low-memory fallback when TBLPTRH is not above table-read threshold	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_363c	usb_ep0_stage_in_data_packet__store_table_source_byte	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage table-source loop stores current byte then advances pointers	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_363e	usb_ep0_stage_in_data_packet__check_table_source_remaining	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage table-source loop tests remaining packet byte count	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_3644	usb_ep0_stage_in_data_packet__copy_lowpage_source_byte	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage loop copies next byte from low-page/control source selected when stock_0CE bit1 is clear	emitted	current_batch_usb_ep0_in_data_stage
flow_main_flash_service_35f0_3650	usb_ep0_stage_in_data_packet__read_lowpage_source_byte	local_label	usb_ep0	src/dlcp_fw/asm/dlcp_main_v34.asm EP0 IN data-stage low-page source loop reads byte through low-memory fallback path	emitted	current_batch_usb_ep0_in_data_stage
